date,gdp_real,trend,cycle
1988-07-01,9546.206,9484.380891674955,61.82510832504522
1988-10-01,9673.405,9554.736041884955,118.66895811504583
1989-01-01,9771.725,9622.75305043853,148.97194956146996
1989-04-01,9846.293,9688.42694859549,157.86605140450956
1989-07-01,9919.228,9751.845875084127,167.38212491587183
1989-10-01,9938.767,9813.196634914872,125.57036508512829
1990-01-01,10047.386,9872.77064692622,174.61535307378108
1990-04-01,10083.855,9930.93781143485,152.91718856515035
1990-07-01,10090.569,9988.177163353106,102.39183664689335
1990-10-01,9998.704,10045.063310836187,-46.35931083618743
1991-01-01,9951.916,10102.234856937195,-150.31885693719596
1991-04-01,10029.51,10160.301430139962,-130.79143013996145
1991-07-01,10080.195,10219.778709642726,-139.5837096427258
1991-10-01,10115.329,10281.100629999883,-165.77162999988286
1992-01-01,10236.435,10344.613885947307,-108.17888594730721
1992-04-01,10347.429,10410.561564952119,-63.13256495211863
1992-07-01,10449.673,10479.119142677726,-29.44614267772522
1992-10-01,10558.648,10550.422636934441,8.225363065557758
1993-01-01,10576.275,10624.58966169338,-48.31466169338091
1993-04-01,10637.847,10701.74297177758,-63.89597177757969
1993-07-01,10688.606,10781.975125346527,-93.36912534652765
1993-10-01,10833.987,10865.338745577355,-31.35174557735627
1994-01-01,10939.116,10951.828099943854,-12.7120999438539
1994-04-01,11087.361,11041.41786107883,45.94313892117134
1994-07-01,11152.176,11134.07475655263,18.101243447368688
1994-10-01,11279.932,11229.794228397439,50.13777160256177
1995-01-01,11319.951,11328.583031922584,-8.632031922585156
1995-04-01,11353.721,11430.479258544654,-76.75825854465438
1995-07-01,11450.31,11535.515604660279,-85.20560466027928
1995-10-01,11528.067,11643.676792754508,-115.60979275450882
1996-01-01,11614.418,11754.89429180947,-140.47629180947115
1996-04-01,11808.14,11869.027314686839,-60.88731468683909
1996-07-01,11914.063,11985.847276565899,-71.78427656589884
1996-10-01,12037.775,12105.08753805427,-67.31253805426968
1997-01-01,12115.472,12226.436594586716,-110.96459458671598
1997-04-01,12317.221,12349.540871261728,-32.31987126172862
1997-07-01,12471.01,12473.977440306184,-2.967440306183562
1997-10-01,12577.495,12599.303174027415,-21.80817402741377
1998-01-01,12703.742,12725.073090082562,-21.331090082561786
1998-04-01,12821.339,12850.828576019996,-29.489576019996093
1998-07-01,12982.752,12976.097687456773,6.654312543227206
1998-10-01,13191.67,13100.390049024942,91.27995097505845
1999-01-01,13315.597,13223.219444301894,92.37755569810543
1999-04-01,13426.748,13344.156706834388,82.5912931656112
1999-07-01,13604.771,13462.830406141491,141.9405938585096
1999-10-01,13827.98,13578.920731300499,249.05926869950054
2000-01-01,13878.147,13692.196584259873,185.95041574012794
2000-04-01,14130.908,13802.582529011012,328.32547098898795
2000-07-01,14145.312,13910.119348555148,235.19265144485144
2000-10-01,14229.765,14015.053029312885,214.71197068711444
2001-01-01,14183.12,14117.776553111977,65.34344688802412
2001-04-01,14271.694,14218.81709676186,52.876903238138766
2001-07-01,14214.516,14318.742676726275,-104.2266767262754
2001-10-01,14253.574,14418.15435753349,-164.58035753349031
2002-01-01,14372.785,14517.588062038816,-144.80306203881628
2002-04-01,14460.848,14617.476850374102,-156.6288503741016
2002-07-01,14519.633,14718.16328075742,-198.53028075742077
2002-10-01,14537.58,14819.892018375353,-282.31201837535264
2003-01-01,14614.141,14922.783646989014,-308.6426469890139
2003-04-01,14743.567,15026.78230534804,-283.2153053480415
2003-07-01,14988.782,15131.639230547695,-142.8572305476955
2003-10-01,15162.76,15236.9286501174,-74.16865011739901
2004-01-01,15248.68,15342.135505817489,-93.4555058174883
2004-04-01,15366.85,15446.69838400196,-79.84838400195986
2004-07-01,15512.619,15549.997461333674,-37.37846133367384
2004-10-01,15670.88,15651.363009235492,19.516990764506772
2005-01-01,15844.727,15750.101937591933,94.6250624080676
2005-04-01,15922.782,15845.533354406743,77.24864559325579
2005-07-01,16047.587,15937.035508347677,110.55149165232251
2005-10-01,16136.734,16024.034928485991,112.69907151400912
2006-01-01,16353.835,16106.027238575229,247.80776142477043
2006-04-01,16396.151,16182.57849928862,213.5725007113815
2006-07-01,16420.738,16253.40965115028,167.3283488497218
2006-10-01,16561.866,16318.375117497262,243.49088250273962
2007-01-01,16611.69,16377.433901884666,234.25609811533286
